ชื่อร้านค้า,CodeCustomer,จำนวนทั้งหมด,ยอดบิลนี้,ค้างจ่ายเก่า,ยอดรวมเงิน,จ่ายเงินสดวันนี้,โอนจ่ายต่อหน้า,จ่ายค้าง,โอนจ่ายที่หลัง,จ่ายค้างโอนต่อหน้า,จ่ายค้างเงินสด,ค้างจ่ายวันนี้,เครดิต,ค้างจ่ายใหม่,Status,Status3,Status2,ImageSaleSite,ชื่อเรื่อง,รหัสการขาย,YMD,Minute,TimeStamp,IDcode,No,LineCar,เหลี่ยมใหญ่,กลมใหญ่,กลมเล็ก,บดหยาบ,บดละเอียด,Latitude,Longitude,ID-CodeName,สอบค้าง,เก็บสอบ,นอนสอบ,ค้างกระสอบรวม
ร้านสลัดผักผลไม้พี่แต๊ก,100260.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-06-11-28,2025-08-26,06:11:29,26/08/2025 06:11:29,111.0,,11.0,,,,2.0,,16.57843833,102.08892833,ID-1111,-2.0,,,-2.0
ร้านแม่ติ๋มลาบเป็ด,100262.0,1.0,35.0,35.0,70.0,70.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-26-111-11-06-13-38,2025-08-26,06:13:38,26/08/2025 06:13:38,111.0,,11.0,,,,1.0,,16.57815833,102.089035,ID-1111,0.0,,,0.0
ร้านผลไม้พี่น้ำ,100265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-06-35-57,2025-08-26,06:35:56,26/08/2025 06:35:56,111.0,,11.0,,,,,,16.57455333,102.10990667,ID-1111,0.0,,,0.0
ร้านพรทิพย์ชานมไข่มุก,102002.0,1.0,40.0,40.0,80.0,80.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-26-111-11-06-39-30,2025-08-26,06:39:29,26/08/2025 06:39:29,111.0,,11.0,,,,,1.0,16.57457167,102.10993167,ID-1111,0.0,,,0.0
ร้านราชาหมูกระทะ&หอยแครง,100266.0,3.0,100.0,100.0,200.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-06-50-29,2025-08-26,06:50:28,26/08/2025 06:50:28,111.0,,11.0,1.0,,,2.0,,16.57565333,102.11153833,ID-1111,2.0,,,2.0
ร้านดอกไม้พี่ดาว,101534.0,3.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-07-00-38,2025-08-26,07:00:38,26/08/2025 07:00:38,111.0,,11.0,,,,3.0,,16.57136333,102.10867,ID-1111,0.0,,,0.0
ร้านก๋วยเตี๋ยวหมูแม่อ๊อด,100269.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-07-06-18,2025-08-26,07:06:18,26/08/2025 07:06:18,111.0,,11.0,1.0,,,,,16.570265,102.11197167,ID-1111,0.0,,,0.0
ร้านของชำแม่บุญนำ,100270.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-07-11-51,2025-08-26,07:11:50,26/08/2025 07:11:50,111.0,,11.0,2.0,,,,,16.57233167,102.11851333,ID-1111,0.0,,,0.0
ร้านTPหม่าล่าพี่หนิง,100271.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-07-23-30,2025-08-26,07:23:30,26/08/2025 07:23:30,111.0,,11.0,,,,,1.0,16.56566667,102.11006667,ID-1111,0.0,,,0.0
ร้านส้มตำไก่ย่างแม่ตุ่ม,100272.0,1.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-07-29-03,2025-08-26,07:29:03,26/08/2025 07:29:03,111.0,,11.0,,,,1.0,,16.56017167,102.11174333,ID-1111,0.0,,,0.0
ร้านชำตายาย ,100273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-07-31-51,2025-08-26,07:31:51,26/08/2025 07:31:51,111.0,,11.0,,,,,,16.56029667,102.10791667,ID-1111,0.0,,,0.0
ร้านของชำแม่ทองมา,100277.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-07-53-57,2025-08-26,07:53:58,26/08/2025 07:53:58,111.0,,11.0,2.0,,,,,16.55470333,102.10637833,ID-1111,0.0,,,0.0
ร้านอยู่เย็นคาเฟ่​,101851.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-07-56-05,2025-08-26,07:56:05,26/08/2025 07:56:05,111.0,,11.0,,,,,,16.552055,102.10828167,ID-1111,0.0,,,0.0
ร้านไก่ย่างบิ๊กตู่,100278.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-08-06-58,2025-08-26,08:06:58,26/08/2025 08:06:58,111.0,,11.0,1.0,,,,,16.54957833,102.111855,ID-1111,0.0,,,0.0
ร้านก๋วยเตี๋ยวยายพัด,100279.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-08-11-53,2025-08-26,08:11:53,26/08/2025 08:11:53,111.0,,11.0,1.0,,,1.0,,16.54957833,102.111855,ID-1111,0.0,,,0.0
ร้านถูกดี นำโชค,100280.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-08-12-04,2025-08-26,08:12:04,26/08/2025 08:12:04,111.0,,11.0,2.0,,,,,16.54957833,102.111855,ID-1111,0.0,,,0.0
ร้านของชำตาแดง,100281.0,6.0,150.0,150.0,300.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-08-19-10,2025-08-26,08:19:10,26/08/2025 08:19:10,111.0,,11.0,6.0,,,,,16.54891833,102.11189833,ID-1111,0.0,,,0.0
ร้านครัวข้าวหอม,101593.0,5.0,175.0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-08-36-09,2025-08-26,08:36:09,26/08/2025 08:36:09,111.0,,11.0,,,1.0,,4.0,16.54607333,102.11102667,ID-1111,0.0,,,0.0
ร้านต้มยำไข่หวาน สระบุรี,100284.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-08-45-01,2025-08-26,08:45:00,26/08/2025 08:45:00,111.0,,11.0,,,2.0,,,16.54502167,102.11043167,ID-1111,0.0,,,0.0
ร้านสบายๆข้าวแกง,100293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-08-56-08,2025-08-26,08:56:08,26/08/2025 08:56:08,111.0,,11.0,,,,,,16.53526833,102.11216167,ID-1111,0.0,,,0.0
ร้านนานาอาหารป่า,100294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-08-56-15,2025-08-26,08:56:15,26/08/2025 08:56:15,111.0,,11.0,,,,,,16.53527333,102.11217,ID-1111,0.0,,,0.0
ร้านเขียงหมูเจ๊หนิง,100292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-08-58-47,2025-08-26,08:58:47,26/08/2025 08:58:47,111.0,,11.0,,,,,,16.53372333,102.11502833,ID-1111,0.0,,,0.0
ร้านโดนใจ ศิริจรรยา มินิมาร์ท,100291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,น้ำแข็งเหลือ,,อาคม,2568-08-26-111-11-09-01-09,2025-08-26,09:01:09,26/08/2025 09:01:09,111.0,,11.0,,,,,,16.53279667,102.11442667,ID-1111,0.0,,,0.0
ร้านข้าวแกงเจ๊แต๋ว,100295.0,1.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-09-08-31,2025-08-26,09:08:31,26/08/2025 09:08:31,111.0,,11.0,,,,1.0,,16.53675,102.112945,ID-1111,0.0,,,0.0
ร้านJJของชำ,100296.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-09-13-57,2025-08-26,09:13:57,26/08/2025 09:13:57,111.0,,11.0,1.0,,,,,16.53676167,102.11292167,ID-1111,0.0,,,0.0
ร้านตามสั่งครัวคุณยาย,100297.0,2.0,60.0,30.0,90.0,90.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-26-111-11-09-17-38,2025-08-26,09:17:38,26/08/2025 09:17:38,111.0,,11.0,1.0,,1.0,,,16.53783833,102.11311,ID-1111,0.0,,,0.0
ร้านลูกชิ้นทอดแม่สุ,100298.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-09-25-04,2025-08-26,09:25:05,26/08/2025 09:25:05,111.0,,11.0,,,,1.0,,16.53786833,102.112685,ID-1111,0.0,,,0.0
ร้านของชำแม่ทองหยาด,100299.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-09-25-15,2025-08-26,09:25:15,26/08/2025 09:25:15,111.0,,11.0,1.0,,,,,16.53786833,102.112635,ID-1111,0.0,,,0.0
ร้านหมาล่าแลนมาค,100488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-09-40-03,2025-08-26,09:40:03,26/08/2025 09:40:03,111.0,,11.0,,,,,,16.540265,102.11397667,ID-1111,0.0,,,0.0
ร้านของชำแม่สุธิ,100301.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-09-47-43,2025-08-26,09:47:43,26/08/2025 09:47:43,111.0,,11.0,2.0,,,,,16.543245,102.11526333,ID-1111,0.0,,,0.0
ร้านตำตุ๊ปุ๊,100287.0,3.0,90.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-04-44,2025-08-26,10:04:44,26/08/2025 10:04:44,111.0,,11.0,,,,3.0,,16.542975,102.10939167,ID-1111,0.0,,,0.0
ร้านก๋วยจั๊บอุบลห้องแอร์,100283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-10-06-26,2025-08-26,10:06:26,26/08/2025 10:06:26,111.0,,11.0,,,,,,16.54585667,102.11083667,ID-1111,0.0,,,0.0
ร้านลูกชิ้นพี่ตุ๊ก,101962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-10-08-08,2025-08-26,10:08:08,26/08/2025 10:08:08,111.0,,11.0,,,,,,16.546395,102.109775,ID-1111,0.0,,,0.0
ร้านห้องเสื้ออาภรณ์,100302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-10-12-55,2025-08-26,10:12:56,26/08/2025 10:12:56,111.0,,11.0,,,,,,16.54535333,102.10919167,ID-1111,0.0,,,0.0
ร้านเท็นโน ชาบู,100303.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-15-36,2025-08-26,10:15:36,26/08/2025 10:15:36,111.0,,11.0,1.0,,,,,16.54546,102.10901333,ID-1111,0.0,,,0.0
ร้านของชำแม่น้อย,100305.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-23-01,2025-08-26,10:23:02,26/08/2025 10:23:02,111.0,,11.0,2.0,,,,,16.54897667,102.10877,ID-1111,0.0,,,0.0
ร้านข้าวกล่องเจ๊นุช,100306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-10-23-09,2025-08-26,10:23:09,26/08/2025 10:23:09,111.0,,11.0,,,,,,16.54897667,102.10877,ID-1111,0.0,,,0.0
ร้านไก่สดแม่พร,100307.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-23-19,2025-08-26,10:23:20,26/08/2025 10:23:20,111.0,,11.0,,,,1.0,,16.54897667,102.10877,ID-1111,0.0,,,0.0
ร้านแหนมคลุกคุณยายเสถียน,100314.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-31-03,2025-08-26,10:31:04,26/08/2025 10:31:04,111.0,,11.0,,,,1.0,,16.55056167,102.10830333,ID-1111,0.0,,,0.0
ร้านอาหารตามสั่งแม่แสง,100315.0,2.0,70.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-39-51,2025-08-26,10:39:51,26/08/2025 10:39:51,111.0,,11.0,,,1.0,1.0,,16.55152833,102.10824333,ID-1111,0.0,,,0.0
ร้านชาไข่มุกบ้านสุขสมบูรณ์  ,100268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-10-42-04,2025-08-26,10:42:03,26/08/2025 10:42:03,111.0,,11.0,,,,,,16.55073667,102.10526167,ID-1111,0.0,,,0.0
ร้านกล้วยทอดคุณยาย,100309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-10-44-45,2025-08-26,10:44:45,26/08/2025 10:44:45,111.0,,11.0,,,,,,16.54886667,102.10694167,ID-1111,0.0,,,0.0
ร้านเจ๊ติ่งขนมไทย,100310.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-10-49-14,2025-08-26,10:49:14,26/08/2025 10:49:14,111.0,,11.0,,,,,,16.54774833,102.104995,ID-1111,-4.0,,,-4.0
ร้านดอกหญ้ามินิมาร์ท,100311.0,6.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-55-26,2025-08-26,10:55:26,26/08/2025 10:55:26,111.0,,11.0,6.0,,,,,16.547565,102.10679,ID-1111,0.0,,,0.0
ร้านถุงเงิน,100312.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-10-59-37,2025-08-26,10:59:37,26/08/2025 10:59:37,111.0,,11.0,2.0,,,,,16.54756333,102.10709167,ID-1111,0.0,,,0.0
ร้านผลไม้แม่แอ๊ด,100313.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-11-02-32,2025-08-26,11:02:32,26/08/2025 11:02:32,111.0,,11.0,,,,1.0,,16.54759167,102.10742167,ID-1111,0.0,,,0.0
ร้านไอศครีมกะทิสด,102194.0,1.0,40.0,,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-11-08-07,2025-08-26,11:08:07,26/08/2025 11:08:07,111.0,,11.0,,,,1.0,,16.54717333,102.10860167,ID-1111,,,,0.0
ร้านก๋วยเตี๋ยวเรือแม่คำหยาด,102051.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-11-17-46,2025-08-26,11:17:46,26/08/2025 11:17:46,111.0,,11.0,1.0,,,,,16.55283667,102.10334333,ID-1111,0.0,,,0.0
ร้านแม่อ้อก๋วยเตี๋ยวต้มยำ,100317.0,1.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-11-28-48,2025-08-26,11:28:48,26/08/2025 11:28:48,111.0,,11.0,1.0,,,,,16.55408,102.09218833,ID-1111,0.0,,,0.0
ร้านไก่ทอดแม่พิน,100319.0,1.0,35.0,35.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,70.0,0,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-11-33-05,2025-08-26,11:33:05,26/08/2025 11:33:05,111.0,,11.0,1.0,,,,,16.550845,102.09093333,ID-1111,2.0,,,2.0
ร้านของชำแม่สุภี,100321.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-11-38-16,2025-08-26,11:38:16,26/08/2025 11:38:16,111.0,,11.0,2.0,,,,,16.55030833,102.09163833,ID-1111,0.0,,,0.0
ครัวยายอุ่น,100320.0,1.0,35.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-11-41-36,2025-08-26,11:41:37,26/08/2025 11:41:37,111.0,,11.0,,,1.0,,,16.54989,102.09187833,ID-1111,-4.0,,,-4.0
อู่ญาเซอร์วิส,100316.0,0.0,0.0,35.0,35.0,35.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,รับเงินสด,0,จ่ายค้างเก่า,,อาคม,2568-08-26-111-11-11-56-39,2025-08-26,11:56:39,26/08/2025 11:56:39,111.0,,11.0,,,,,,16.56629,102.10583667,ID-1111,0.0,,,0.0
ร้านของชำสบายดี,100263.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-12-07-10,2025-08-26,12:07:10,26/08/2025 12:07:10,111.0,,11.0,,,,,,16.57829167,102.10929667,ID-1111,0.0,,,0.0
ร้านของชำจินดาช็อป,100264.0,6.0,200.0,335.0,535.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-12-11-08,2025-08-26,12:11:09,26/08/2025 12:11:09,111.0,,11.0,5.0,,,1.0,,16.57834,102.10984833,ID-1111,0.0,,,0.0
ชุมแพสนุกเกอร์ 2,101871.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-12-12-46,2025-08-26,12:12:46,26/08/2025 12:12:46,111.0,,11.0,,,,,,16.57834,102.10984833,ID-1111,0.0,,,0.0
ร้านลาบขมต้มแซ่บแม่ไล,102047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-12-26-13,2025-08-26,12:26:13,26/08/2025 12:26:13,111.0,,11.0,,,,,,16.555975,102.10865333,ID-1111,0.0,,,0.0
ร้านบ้านพี่นนท์,100275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ไม่ซื้อ,,อาคม,2568-08-26-111-11-12-26-23,2025-08-26,12:26:23,26/08/2025 12:26:23,111.0,,11.0,,,,,,16.555975,102.10865333,ID-1111,0.0,,,0.0
ร้านกาแฟ Mind Tea,100304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-12-37-19,2025-08-26,12:37:20,26/08/2025 12:37:20,111.0,,11.0,,,,,,16.54819,102.10892667,ID-1111,0.0,,,0.0
ร้านข้าวมันไก่ นครปฐม,100285.0,2.0,60.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-12-47-48,2025-08-26,12:47:48,26/08/2025 12:47:48,111.0,,11.0,1.0,,1.0,,,16.54329833,102.10957667,ID-1111,0.0,,,0.0
ร้านกาแฟแม่เจี๊ยบ,100288.0,1.0,40.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-12-50-54,2025-08-26,12:50:54,26/08/2025 12:50:54,111.0,,11.0,,,1.0,,,16.54298667,102.109385,ID-1111,0.0,,,0.0
ร้านสุขสันต์เกล็ดหิมะ,100387.0,2.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,รับเงินสด,0,0,,อาคม,2568-08-26-111-11-13-03-49,2025-08-26,13:03:49,26/08/2025 13:03:49,111.0,,11.0,,,,2.0,,16.54271,102.10925667,ID-1111,0.0,,,0.0
ร้านต้นขนุน,101947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,ร้านปิด,,อาคม,2568-08-26-111-11-13-10-34,2025-08-26,13:10:34,26/08/2025 13:10:34,111.0,,11.0,,,,,,16.547985,102.10185333,ID-1111,0.0,,,0.0
ร้านรุ่งเรืองการค้า,100324.0,7.0,210.0,245.0,455.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-13-18-49,2025-08-26,13:18:49,26/08/2025 13:18:49,111.0,,11.0,6.0,,,1.0,,16.56026333,102.10396167,ID-1111,0.0,,,0.0
ร้านโปรด,100323.0,2.0,70.0,140.0,210.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,รับเงินสด,ค้างจ่าย,0,,อาคม,2568-08-26-111-11-13-26-29,2025-08-26,13:26:29,26/08/2025 13:26:29,111.0,,11.0,2.0,,,,,16.55071167,102.10091667,ID-1111,0.0,,,0.0
